Attribute,Commodity,Commodity type,Unit,YearType,Year,Value
Feed & residual,Barley,Crops,Million bushels,Market year,2023/24,20
Feed & residual,Barley,Crops,Million bushels,Market year,2024/25,20
Feed & residual,Barley,Crops,Million bushels,Market year,2025/26,25
Feed & residual,Barley,Crops,Million bushels,Market year,2026/27,30
Feed & residual,Barley,Crops,Million bushels,Market year,2027/28,30
Feed & residual,Barley,Crops,Million bushels,Market year,2028/29,30
Feed & residual,Barley,Crops,Million bushels,Market year,2029/30,35
Feed & residual,Barley,Crops,Million bushels,Market year,2030/31,35
Feed & residual,Barley,Crops,Million bushels,Market year,2031/32,35
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2020/21,147
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2021/22,115
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2022/23,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2023/24,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2024/25,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2025/26,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2026/27,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2027/28,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2028/29,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2029/30,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2030/31,145
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2031/32,145
Harvested acres,Barley,Crops,Million acres,Market year,2020/21,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2021/22,1.9
Harvested acres,Barley,Crops,Million acres,Market year,2022/23,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2023/24,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2024/25,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2025/26,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2026/27,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2027/28,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2028/29,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2029/30,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2030/31,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2031/32,2.2
Imports,Barley,Crops,Million bushels,Market year,2020/21,7
Imports,Barley,Crops,Million bushels,Market year,2021/22,7
Imports,Barley,Crops,Million bushels,Market year,2022/23,9
Imports,Barley,Crops,Million bushels,Market year,2023/24,9
Imports,Barley,Crops,Million bushels,Market year,2024/25,9
Imports,Barley,Crops,Million bushels,Market year,2025/26,9
Imports,Barley,Crops,Million bushels,Market year,2026/27,9
Imports,Barley,Crops,Million bushels,Market year,2027/28,9
Imports,Barley,Crops,Million bushels,Market year,2028/29,9
Imports,Barley,Crops,Million bushels,Market year,2029/30,9
Imports,Barley,Crops,Million bushels,Market year,2030/31,9
Imports,Barley,Crops,Million bushels,Market year,2031/32,9
Loan rate,Barley,Crops,Dollars per bushel,Market year,2020/21,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2021/22,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2022/23,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2023/24,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2024/25,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2025/26,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2026/27,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2027/28,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2028/29,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2029/30,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2030/31,2.5
Loan rate,Barley,Crops,Dollars per bushel,Market year,2031/32,2.5
Planted acres,Barley,Crops,Million acres,Market year,2020/21,2.7
Planted acres,Barley,Crops,Million acres,Market year,2021/22,2.7
Planted acres,Barley,Crops,Million acres,Market year,2022/23,2.7
Planted acres,Barley,Crops,Million acres,Market year,2023/24,2.7
Planted acres,Barley,Crops,Million acres,Market year,2024/25,2.7
Planted acres,Barley,Crops,Million acres,Market year,2025/26,2.7
Planted acres,Barley,Crops,Million acres,Market year,2026/27,2.7
Planted acres,Barley,Crops,Million acres,Market year,2027/28,2.7
Planted acres,Barley,Crops,Million acres,Market year,2028/29,2.7
Planted acres,Barley,Crops,Million acres,Market year,2029/30,2.7
Planted acres,Barley,Crops,Million acres,Market year,2030/31,2.7
Planted acres,Barley,Crops,Million acres,Market year,2031/32,2.7
Production,Barley,Crops,Million bushels,Market year,2020/21,171
Production,Barley,Crops,Million bushels,Market year,2021/22,118
Production,Barley,Crops,Million bushels,Market year,2022/23,166
Production,Barley,Crops,Million bushels,Market year,2023/24,168
Production,Barley,Crops,Million bushels,Market year,2024/25,169
Production,Barley,Crops,Million bushels,Market year,2025/26,171
Production,Barley,Crops,Million bushels,Market year,2026/27,172
Production,Barley,Crops,Million bushels,Market year,2027/28,173
Production,Barley,Crops,Million bushels,Market year,2028/29,175
Production,Barley,Crops,Million bushels,Market year,2029/30,176
Production,Barley,Crops,Million bushels,Market year,2030/31,178
Production,Barley,Crops,Million bushels,Market year,2031/32,179
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2020/21,195
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2021/22,144
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2022/23,210
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2023/24,195
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2024/25,188
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2025/26,184
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2026/27,175
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2027/28,178
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2028/29,180
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2029/30,182
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2030/31,188
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2031/32,189
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2020/21,38.37
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2021/22,44.18
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2022/23,40.72
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2023/24,42.44
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2024/25,45.93
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2025/26,46.33
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2026/27,44.51
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2027/28,44.51
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2028/29,45.6
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2029/30,43.32
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2030/31,43.32
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2031/32,43.85
Supply total,Barley,Crops,Million bushels,Market year,2020/21,258
Supply total,Barley,Crops,Million bushels,Market year,2021/22,196
Supply total,Barley,Crops,Million bushels,Market year,2022/23,235
Supply total,Barley,Crops,Million bushels,Market year,2023/24,245
Supply total,Barley,Crops,Million bushels,Market year,2024/25,251
Supply total,Barley,Crops,Million bushels,Market year,2025/26,259
Supply total,Barley,Crops,Million bushels,Market year,2026/27,263
Supply total,Barley,Crops,Million bushels,Market year,2027/28,263
Supply total,Barley,Crops,Million bushels,Market year,2028/29,265
Supply total,Barley,Crops,Million bushels,Market year,2029/30,268
Supply total,Barley,Crops,Million bushels,Market year,2030/31,268
Supply total,Barley,Crops,Million bushels,Market year,2031/32,269
Total use/disposition,Barley,Crops,Million bushels,Market year,2020/21,186
Total use/disposition,Barley,Crops,Million bushels,Market year,2021/22,136
Total use/disposition,Barley,Crops,Million bushels,Market year,2022/23,167
Total use/disposition,Barley,Crops,Million bushels,Market year,2023/24,172
Total use/disposition,Barley,Crops,Million bushels,Market year,2024/25,172
Total use/disposition,Barley,Crops,Million bushels,Market year,2025/26,177
Total use/disposition,Barley,Crops,Million bushels,Market year,2026/27,182
Total use/disposition,Barley,Crops,Million bushels,Market year,2027/28,182
Total use/disposition,Barley,Crops,Million bushels,Market year,2028/29,182
Total use/disposition,Barley,Crops,Million bushels,Market year,2029/30,187
Total use/disposition,Barley,Crops,Million bushels,Market year,2030/31,187
Total use/disposition,Barley,Crops,Million bushels,Market year,2031/32,187
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2020/21,172
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2021/22,177
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2022/23,179
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2023/24,178
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2024/25,177
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2025/26,176
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2026/27,176
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2027/28,177
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2028/29,178
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2029/30,178
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2030/31,176
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2031/32,177
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2020/21,2.23
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2021/22,2.92
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2022/23,2.37
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2023/24,2.34
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2024/25,2.3
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2025/26,2.27
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2026/27,2.26
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2027/28,2.25
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2028/29,2.24
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2029/30,2.22
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2030/31,2.18
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2031/32,2.18
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2020/21,77.2
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2021/22,60.4
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2022/23,75.5
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2023/24,76.2
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2024/25,76.8
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2025/26,77.5
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2026/27,78.1
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2027/28,78.8
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2028/29,79.4
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2029/30,80.1
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2030/31,80.7
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2031/32,81.4
Beginning stocks,Corn,Crops,Million bushels,Market year,2020/21,1919
Beginning stocks,Corn,Crops,Million bushels,Market year,2021/22,1236
Beginning stocks,Corn,Crops,Million bushels,Market year,2022/23,1500
Beginning stocks,Corn,Crops,Million bushels,Market year,2023/24,1935
Beginning stocks,Corn,Crops,Million bushels,Market year,2024/25,2205
Beginning stocks,Corn,Crops,Million bushels,Market year,2025/26,2445
Beginning stocks,Corn,Crops,Million bushels,Market year,2026/27,2495
Beginning stocks,Corn,Crops,Million bushels,Market year,2027/28,2560
Beginning stocks,Corn,Crops,Million bushels,Market year,2028/29,2595
Beginning stocks,Corn,Crops,Million bushels,Market year,2029/30,2620
Beginning stocks,Corn,Crops,Million bushels,Market year,2030/31,2665
Beginning stocks,Corn,Crops,Million bushels,Market year,2031/32,2675
Domestic use,Corn,Crops,Million bushels,Market year,2020/21,12066
Domestic use,Corn,Crops,Million bushels,Market year,2021/22,12280
Domestic use,Corn,Crops,Million bushels,Market year,2022/23,12430
Domestic use,Corn,Crops,Million bushels,Market year,2023/24,12505
Domestic use,Corn,Crops,Million bushels,Market year,2024/25,12625
Domestic use,Corn,Crops,Million bushels,Market year,2025/26,12720
Domestic use,Corn,Crops,Million bushels,Market year,2026/27,12795
Domestic use,Corn,Crops,Million bushels,Market year,2027/28,12915
Domestic use,Corn,Crops,Million bushels,Market year,2028/29,13015
Domestic use,Corn,Crops,Million bushels,Market year,2029/30,13085
Domestic use,Corn,Crops,Million bushels,Market year,2030/31,13110
Domestic use,Corn,Crops,Million bushels,Market year,2031/32,13180
Ending stocks,Corn,Crops,Million bushels,Market year,2020/21,1236
Ending stocks,Corn,Crops,Million bushels,Market year,2021/22,1500
Ending stocks,Corn,Crops,Million bushels,Market year,2022/23,1935
Ending stocks,Corn,Crops,Million bushels,Market year,2023/24,2205
Ending stocks,Corn,Crops,Million bushels,Market year,2024/25,2445
Ending stocks,Corn,Crops,Million bushels,Market year,2025/26,2495
Ending stocks,Corn,Crops,Million bushels,Market year,2026/27,2560
Ending stocks,Corn,Crops,Million bushels,Market year,2027/28,2595
Ending stocks,Corn,Crops,Million bushels,Market year,2028/29,2620
Ending stocks,Corn,Crops,Million bushels,Market year,2029/30,2665
Ending stocks,Corn,Crops,Million bushels,Market year,2030/31,2675
Ending stocks,Corn,Crops,Million bushels,Market year,2031/32,2705
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2020/21,5032
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2021/22,5200
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2022/23,5250
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2023/24,5250
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2024/25,5250
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2025/26,5250
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2026/27,5225
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2027/28,5225
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2028/29,5200
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2029/30,5200
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2030/31,5175
Ethanol for fuel,Corn,Crops,Million bushels,Market year,2031/32,5175
Exports,Corn,Crops,Million bushels,Market year,2020/21,2753
Exports,Corn,Crops,Million bushels,Market year,2021/22,2500
Exports,Corn,Crops,Million bushels,Market year,2022/23,2400
Exports,Corn,Crops,Million bushels,Market year,2023/24,2475
Exports,Corn,Crops,Million bushels,Market year,2024/25,2550
Exports,Corn,Crops,Million bushels,Market year,2025/26,2625
Exports,Corn,Crops,Million bushels,Market year,2026/27,2700
Exports,Corn,Crops,Million bushels,Market year,2027/28,2775
Exports,Corn,Crops,Million bushels,Market year,2028/29,2850
Exports,Corn,Crops,Million bushels,Market year,2029/30,2925
Exports,Corn,Crops,Million bushels,Market year,2030/31,3000
Exports,Corn,Crops,Million bushels,Market year,2031/32,3075
Farm price,Corn,Crops,Dollars per bushel,Market year,2020/21,4.53
Farm price,Corn,Crops,Dollars per bushel,Market year,2021/22,5.45
Farm price,Corn,Crops,Dollars per bushel,Market year,2022/23,4.8
Farm price,Corn,Crops,Dollars per bushel,Market year,2023/24,4.5
Farm price,Corn,Crops,Dollars per bushel,Market year,2024/25,4.3
Farm price,Corn,Crops,Dollars per bushel,Market year,2025/26,4.2
Farm price,Corn,Crops,Dollars per bushel,Market year,2026/27,4
Farm price,Corn,Crops,Dollars per bushel,Market year,2027/28,4
Farm price,Corn,Crops,Dollars per bushel,Market year,2028/29,4
Farm price,Corn,Crops,Dollars per bushel,Market year,2029/30,4
Farm price,Corn,Crops,Dollars per bushel,Market year,2030/31,4
Farm price,Corn,Crops,Dollars per bushel,Market year,2031/32,4
Feed & residual,Corn,Crops,Million bushels,Market year,2020/21,5597
Feed & residual,Corn,Crops,Million bushels,Market year,2021/22,5650
Feed & residual,Corn,Crops,Million bushels,Market year,2022/23,5750
Feed & residual,Corn,Crops,Million bushels,Market year,2023/24,5825
Feed & residual,Corn,Crops,Million bushels,Market year,2024/25,5950
Feed & residual,Corn,Crops,Million bushels,Market year,2025/26,6050
Feed & residual,Corn,Crops,Million bushels,Market year,2026/27,6150
Feed & residual,Corn,Crops,Million bushels,Market year,2027/28,6275
Feed & residual,Corn,Crops,Million bushels,Market year,2028/29,6400
Feed & residual,Corn,Crops,Million bushels,Market year,2029/30,6475
Feed & residual,Corn,Crops,Million bushels,Market year,2030/31,6525
Feed & residual,Corn,Crops,Million bushels,Market year,2031/32,6600
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2020/21,6469
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2021/22,6630
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2022/23,6680
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2023/24,6680
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2024/25,6675
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2025/26,6670
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2026/27,6645
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2027/28,6640
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2028/29,6615
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2029/30,6610
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2030/31,6585
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2031/32,6580
Harvested acres,Corn,Crops,Million acres,Market year,2020/21,82.3
Harvested acres,Corn,Crops,Million acres,Market year,2021/22,85.1
Harvested acres,Corn,Crops,Million acres,Market year,2022/23,84.2
Harvested acres,Corn,Crops,Million acres,Market year,2023/24,83.2
Harvested acres,Corn,Crops,Million acres,Market year,2024/25,83.2
Harvested acres,Corn,Crops,Million acres,Market year,2025/26,82.2
Harvested acres,Corn,Crops,Million acres,Market year,2026/27,82.2
Harvested acres,Corn,Crops,Million acres,Market year,2027/28,82.2
Harvested acres,Corn,Crops,Million acres,Market year,2028/29,82.2
Harvested acres,Corn,Crops,Million acres,Market year,2029/30,82.2
Harvested acres,Corn,Crops,Million acres,Market year,2030/31,81.7
Harvested acres,Corn,Crops,Million acres,Market year,2031/32,81.7
Imports,Corn,Crops,Million bushels,Market year,2020/21,24
Imports,Corn,Crops,Million bushels,Market year,2021/22,25
Imports,Corn,Crops,Million bushels,Market year,2022/23,25
Imports,Corn,Crops,Million bushels,Market year,2023/24,25
Imports,Corn,Crops,Million bushels,Market year,2024/25,25
Imports,Corn,Crops,Million bushels,Market year,2025/26,25
Imports,Corn,Crops,Million bushels,Market year,2026/27,25
Imports,Corn,Crops,Million bushels,Market year,2027/28,25
Imports,Corn,Crops,Million bushels,Market year,2028/29,25
Imports,Corn,Crops,Million bushels,Market year,2029/30,25
Imports,Corn,Crops,Million bushels,Market year,2030/31,25
Imports,Corn,Crops,Million bushels,Market year,2031/32,25
Loan rate,Corn,Crops,Dollars per bushel,Market year,2020/21,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2021/22,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2022/23,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2023/24,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2024/25,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2025/26,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2026/27,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2027/28,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2028/29,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2029/30,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2030/31,2.2
Loan rate,Corn,Crops,Dollars per bushel,Market year,2031/32,2.2
Planted acres,Corn,Crops,Million acres,Market year,2020/21,90.7
Planted acres,Corn,Crops,Million acres,Market year,2021/22,93.3
Planted acres,Corn,Crops,Million acres,Market year,2022/23,92
Planted acres,Corn,Crops,Million acres,Market year,2023/24,91
Planted acres,Corn,Crops,Million acres,Market year,2024/25,91
Planted acres,Corn,Crops,Million acres,Market year,2025/26,90
Planted acres,Corn,Crops,Million acres,Market year,2026/27,90
Planted acres,Corn,Crops,Million acres,Market year,2027/28,90
Planted acres,Corn,Crops,Million acres,Market year,2028/29,90
Planted acres,Corn,Crops,Million acres,Market year,2029/30,90
Planted acres,Corn,Crops,Million acres,Market year,2030/31,89.5
Planted acres,Corn,Crops,Million acres,Market year,2031/32,89.5
Production,Corn,Crops,Million bushels,Market year,2020/21,14111
Production,Corn,Crops,Million bushels,Market year,2021/22,15019
Production,Corn,Crops,Million bushels,Market year,2022/23,15240
Production,Corn,Crops,Million bushels,Market year,2023/24,15225
Production,Corn,Crops,Million bushels,Market year,2024/25,15390
Production,Corn,Crops,Million bushels,Market year,2025/26,15370
Production,Corn,Crops,Million bushels,Market year,2026/27,15535
Production,Corn,Crops,Million bushels,Market year,2027/28,15700
Production,Corn,Crops,Million bushels,Market year,2028/29,15865
Production,Corn,Crops,Million bushels,Market year,2029/30,16030
Production,Corn,Crops,Million bushels,Market year,2030/31,16095
Production,Corn,Crops,Million bushels,Market year,2031/32,16260
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2020/21,413
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2021/22,620
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2022/23,523
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2023/24,479
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2024/25,457
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2025/26,452
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2026/27,424
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2027/28,433
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2028/29,441
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2029/30,450
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2030/31,463
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2031/32,470
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2020/21,8.34
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2021/22,10.15
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2022/23,13.05
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2023/24,14.72
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2024/25,16.11
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2025/26,16.26
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2026/27,16.52
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2027/28,16.54
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2028/29,16.51
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2029/30,16.65
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2030/31,16.6
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2031/32,16.64
Supply total,Corn,Crops,Million bushels,Market year,2020/21,16055
Supply total,Corn,Crops,Million bushels,Market year,2021/22,16280
Supply total,Corn,Crops,Million bushels,Market year,2022/23,16765
Supply total,Corn,Crops,Million bushels,Market year,2023/24,17185
